.	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考				
		テスト仕様書作成		NTQ	72.0h	72.0h	完了	04/18	04/18	04/28	04/26	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650972173360409				
		テスト仕様書レビュー		宗			未着手									
		テスト仕様書FB対応		NTQ	12.0h		未着手									
		機能テスト実施		NTQ	42.0h	42.0h	完了	04/28	04/25	05/06	04/27					
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/03	05/03	05/03	05/03					
		重複メソッド対応		NTQ	1.0h	1.0h	完了	04/28	04/28	04/29	05/04					
		レビュー					未着手									
		FB対応		NTQ	14.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
	人材マップ画面　/competencesearch/cpersonalitymapanalytics		ENG1ST-2042	NTQ			仕掛中									
		実装		NTQ	184.0h		仕掛中	06/02	06/02	06/30						
		テスト仕様書作成		NTQ	160.0h		仕掛中	06/06	06/06	07/20						
		テスト仕様書レビュー		宗			未着手									
		テスト仕様書FB対応		NTQ			未着手									
		機能テスト実施		NTQ	100.0h		未着手	07/18		08/10						
		レビュー					未着手									
		FB対応		NTQ			未着手									
		受入					未着手									
		リリース準備					未着手									
3	"選考管理リスト オファー取り消し　/cofferlist/reject/before
/cofferlist/reject/after"		ENG1ST-2043	NTQ			仕掛中									
		実装		NTQ	73.0h	73.0h	完了	04/01	04/01	04/18	04/18					
		テスト仕様書作成		NTQ	72.0h	72.0h	完了	04/05	04/05	04/22	04/22	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650846037954699				
		テスト仕様書レビュー		宗	24.0h	32.0h	完了	05/11	05/11	05/17	05/18	5/17 作業遅延により予定変更（5/13→5/17）				
		テスト仕様書FB対応		NTQ	12.0h		完了	06/14	06/14	06/14	06/14					
		機能テスト実施		NTQ	42.0h	42.0h	完了	04/18	04/18	04/28	04/28					
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/04	05/04					
		レビュー					未着手									
		FB対応		NTQ	14.0h		未着手									
		受入					未着手									
		リリース準備					未着手									
	かんたん日程調整（開催前のイベント）画面　/cevent		ENG1ST-2044	NTQ			仕掛中					超高難度のおそれがあるため、着手前に確認して報告してもらう				
		実装		NTQ	184.0h	184.0h	完了	05/04	05/04	05/31	05/31					
		テスト仕様書作成		NTQ	160.0h		完了	05/04	05/04	06/08	06/07					
		テスト仕様書レビュー					未着手									
