	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考			
		CSRF対策の実施・検証		NTQ	12.0h	12.0h	完了	04/22	04/22	04/25	04/25	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650883799807029?thread_ts=1650517850.577639&cid=C02BYE052ES			
		機能テスト実施（ [/cevent/invite_send] への送信部分）		NTQ	1.0h	1.0h	完了	04/25	04/25	04/25	04/25	↑という話にはなったが、v1側で、v2からのPOSTは対象ドメインとして許容する対応ができれば、それで解決するのではないか、という話になった。そのため、NTQ側、i-plug側双方で確認し、その対応を行うかどうか決定してから、このタスク計画のままいくかを判断する。			
		「Input::get()」、「Input::post()」機能対応		NTQ	2.0h	2.0h	完了	04/26	04/26	04/27	04/27				
		コードレビュー		島	16.0h		未着手								
		コードレビューFB対応		NTQ	14.0h		未着手								
		受入		島	1.0h		未着手								
	"かんたん日程調整（開催前のイベント）学生に提案する
送信
/cevent/invite_complete"		ENG1ST-1884	NTQ			仕掛中								
		実装		NTQ	41.0h	9.0h	完了	02/25	02/15	02/22	02/22				
		テスト仕様書作成		NTQ	56.0h	14.0h	完了	02/23	02/15	02/23	02/23				
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	02/24	03/15	02/25	03/15				
		機能テスト実施		NTQ	30.0h	12.5h	完了	03/02	03/02	03/04	03/02	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1646182366961499			
		コードレビュー		島	16.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	4.0h		未着手								
	"かんたん日程調整（開催前のイベント）イベントカレンダー
イベント　複製画面
/cevent/new/15019"		ENG1ST-1885	NTQ			仕掛中								
		実装		NTQ	73.0h	43.5h	完了	02/15	02/15	02/22	03/15				
		テスト仕様書作成		NTQ	72.0h	54.0h	完了	02/11	02/11	04/04	04/04	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649030501686269			
		テスト仕様書レビュー		宗	4.0h	20.0h	完了	04/04	04/04	04/08	04/08				
		テスト仕様書FB対応		NTQ	12.0h	1.5h	完了	04/13	04/13	04/15	04/15	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650013649377799?thread_ts=1649030501.686269&cid=C02BYE052ES			
		機能テスト実施		NTQ	42.0h	56.0h	完了	03/02	03/15	03/04	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648712035529309			
		NTQ側単体テスト修正		NTQ	4.0h	4.0h	完了	04/04	04/04	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649206111121949?thread_ts=1649045764.721289&cid=C02BYE052ES			
		「Input::get()」、「Input::post()」機能対応		NTQ	2.0h	2.0h	完了	04/26	04/26	04/27	04/27				
		コードレビュー		島	16.0h		未着手								
		コードレビューFB対応		NTQ	14.0h		未着手								
		受入		島	4.0h		未着手								
	"かんたん日程調整　イベントカレンダー　一括メッセージ送信
/cevent/send_message/20680"		ENG1ST-1886	NTQ			仕掛中								
		実装		NTQ	41.0h	48.0h	完了	02/15	02/15	02/22	02/24				
		テスト仕様書作成		NTQ	56.0h	65.0h	完了	02/15	02/15	02/23	02/28				
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	03/22	03/22	03/22	03/22				
		テスト仕様書FB対応		NTQ	8.0h	4.0h	完了	03/22	03/22	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649244702809689?thread_ts=1647425493.941739&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施		NTQ	30.0h	39.0h	完了	03/01	03/02	03/04	03/22	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647915153361159			
		コードレビュー		島	16.0h	16.0h	完了	03/08	03/08	03/09	03/09				
		FB対応		NTQ	10.0h	6.0h	完了	03/09	03/09	03/10	03/10				
		NTQ側単体テスト修正		NTQ	4.0h	4.0h	完了	04/04	04/04	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649206111121949?thread_ts=1649045764.721289&cid=C02BYE052ES			
		受入		島	4.0h		未着手								
	"かんたん日程調整　イベントカレンダー　確認
/cevent/send_message_confirm"		ENG1ST-1887	NTQ			仕掛中								
		実装		NTQ	41.0h	32.0h	完了	02/23	02/23	03/02	03/02				
		テスト仕様書作成		NTQ	56.0h	43.0h	完了	02/23	02/23	03/03	03/22	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647927108004309			未着手
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	03/04	03/24	03/07	03/24				仕掛中
		テスト仕様書FB対応		NTQ	8.0h	4.0h	完了	03/28	03/28	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649243513712269?thread_ts=1647927108.004309&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施		NTQ	30.0h	40.0h	完了	03/11		03/14	03/30	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648620384593969			完了
		コードレビュー		島	16.0h		未着手								保留
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	4.0h		未着手								未着手（Epic)
	"学生ページ かんたん日程調整（承認学生）
/cevent/student/346499"		ENG1ST-1888	NTQ			仕掛中								却下
		実装		NTQ	41.0h	51.0h	完了	02/23	02/23	03/02	03/09				却下（Epic)
		テスト仕様書作成		NTQ	56.0h	35.0h	完了	02/23	02/23	03/03	03/23	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647998284727889			
		テスト仕様書レビュー		山下	4.0h	6.0h	完了	03/04	03/25	03/07	03/25				
		テスト仕様書FB対応		NTQ	8.0h	4.0h	完了	03/29	03/29	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649245571118259?thread_ts=1647998284.727889&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施		NTQ	30.0h	36.0h	完了	03/11	03/25	03/14	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648728346608719			
		NTQ側単体テスト修正		NTQ	4.0h	3.0h	完了	04/04	04/04	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649246328550029?thread_ts=1649045764.721289&cid=C02BYE052ES			
		「Input::get()」、「Input::post()」機能対応		NTQ	2.0h	2.0h	完了	04/26	04/26	04/27	04/27				
		コードレビュー		島	16.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	4.0h		未着手								
	かんたん日程調整 開催場所追加		ENG1ST-1889				却下					ENG1ST-2000と同一画面のため集約			
		実装		NTQ	40.0h		却下	02/23		03/02					却下（Epic)
		テスト仕様書作成		NTQ	24.0h		却下	02/23		03/03					
		テスト仕様書レビュー		谷口	4.0h		却下	03/04		03/07					
		テスト仕様書FB対応		NTQ			却下	03/08		03/08					
		機能テスト実施		NTQ	16.0h		却下	03/11		03/14					
		コードレビュー		島	16.0h		却下	03/16		03/17					
		受入		島	4.0h		却下	03/17		03/18					
		リリース準備		島	4.0h		却下	03/18		03/21					
		リリース					却下								
	"かんたん日程調整
/cevent/about"		ENG1ST-2001	NTQ			仕掛中								
		実装		NTQ	41.0h	41.0h	完了	03/03	02/23	03/11	03/02				
		テスト仕様書作成		NTQ	56.0h	10.0h	完了	03/03	03/03	03/11	03/16	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647425667376509			
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	03/14	03/23	03/15	03/23				
		テスト仕様書FB対応		NTQ	8.0h	0.5h	完了	03/31	03/31	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649141066830599?thread_ts=1647425667.376509&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施		NTQ	30.0h	15.5h	完了	03/17	03/17	03/18	03/28	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648456280465949			
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	8.0h		未着手								
	"内定報告する（内定承諾報告）
報告完了
/cdecidemanage/new/done"		ENG1ST-1891	NTQ			仕掛中								
		実装		NTQ	73.0h	48.0h	完了	03/03	03/03	03/10	03/15				却下（Epic)
		テスト仕様書作成		NTQ	56.0h	20.0h	完了	03/03	03/03	03/11	03/22	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647927114207099			
		テスト仕様書レビュー		宗	4.0h	8.0h	完了	03/25	03/25	03/25	03/25				
		機能テスト実施		NTQ	30.0h	32.0h	完了	03/17	03/17	03/18	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648730801574449			
		NTQ側単体テスト修正		NTQ	4.0h	3.0h	完了	04/04	04/04	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649206111121949?thread_ts=1649045764.721289&cid=C02BYE052ES			
		「Input::get()」、「Input::post()」機能対応		NTQ	2.0h	2.0h	完了	04/26	04/26	04/27	04/27				
		コードレビュー		島			未着手								
		コードレビューFB対応		NTQ	14.0h		未着手								
		受入		島	4.0h		未着手								
	"内定者管理（内定者一覧）
内定チャット（OFBとチャット）
/cdecidemanage/chat/144575"		ENG1ST-1892	NTQ			仕掛中								
		実装		NTQ	41.0h	49.0h	完了	03/03	03/03	03/10	03/16				却下（Epic)
		テスト仕様書作成		NTQ	56.0h	59.0h	完了	03/03	03/03	03/11	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648694169755639			
		テスト仕様書レビュー		山下	4.0h	6.0h	完了	03/14	04/01	03/15	04/01				
		テスト仕様書FB対応		NTQ	8.0h		完了	04/04	04/04	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649241959843829?thread_ts=1648694169.755639&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施		NTQ	30.0h	42.5h	完了	03/17	03/18	03/18	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648731339275819			
		NTQ側単体テスト修正		NTQ	4.0h	4.0h	完了	04/04	04/04	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649246328550029?thread_ts=1649045764.721289&cid=C02BYE052ES			
		「Input::get()」、「Input::post()」機能対応		NTQ	2.0h	2.0h	完了	04/26	04/26	04/27	04/27				
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/05	05/05				
		機能テスト仕様書修正（漏れ処理取り込み）		NTQ	24.0h		完了	05/13	05/13	05/30	05/31				
		機能テスト仕様書修正レビュー（漏れ処理取り込み）		宗											
		機能テスト実施（漏れ処理取り込み）		NTQ	24.0h		完了	05/23	05/23	05/31	05/31				
		コードレビュー		島	16.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	4.0h		未着手								
	"活躍人材分析画面
/competencesearch/cactivepersonal"		ENG1ST-1761	NTQ			仕掛中								
		実装		NTQ	73.0h	25.0h	完了	02/23	02/23	03/15	03/03				
		テスト仕様書作成		NTQ	72.0h	23.0h	完了	02/23	02/23	03/03	03/29	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648452480862109			
		テスト仕様書レビュー		宗	4.0h	16.0h	完了	03/30	03/30	03/31	03/31				
		テスト仕様書FB対応		NTQ	12.0h	4.0h	完了	03/31	03/31	04/04	04/04	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649059240365769?thread_ts=1648452480.862109&cid=C02BYE052ES			
		テスト仕様書FB対応確認		宗	4.0h	4.0h	完了	04/05	04/05	04/05	04/05				
		機能テスト実施		NTQ	42.0h	34.0h	完了	02/23	03/03	03/02	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648704463544559			
		NTQ側単体テスト修正		NTQ	4.0h	4.0h	完了	04/04	04/04	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649246328550029?thread_ts=1649045764.721289&cid=C02BYE052ES			
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	14.0h		未着手								
		受入		島	8.0h		未着手								
	"採用計画画面
/cofferlimit"		ENG1ST-1701	NTQ			仕掛中								
		実装		NTQ	73.0h	27.0h	完了	02/07	02/07	02/14	03/11				
		テスト仕様書作成		NTQ	72.0h	40.0h	完了	02/07	02/07	02/15	03/24	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648084447838789			
		テスト仕様書レビュー		山下	4.0h	6.0h	完了	02/16	03;/28	02/17	03/29				
		テスト仕様書FB対応		NTQ	4.0h	3.0h	完了	03/29	03/29	04/06	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649244029186559?thread_ts=1648084447.838789&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施		NTQ	42.0h	35.0h	完了	02/28	03/11	03/01	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648700657130759			
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/05	05/05				
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	14.0h		未着手								
		受入		島	8.0h		未着手								
	"採用計画画面　募集要項設定画面
/cworkingcondition/index"		ENG1ST-1706	NTQ			完了					"/workingcondition/indexは、「/cworkingcondition/list」の画面に作り直されるため、リプレース中止
20220404:運用的に新画面と旧画面を共存させるため再開"			
		実装		NTQ	41.0h	45.0h	完了	02/07	02/07	02/15	02/15				
		テスト仕様書作成		NTQ	56.0h	56.0h	完了	02/07	02/08	02/18	03/23	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648028656639979			
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	04/04	04/04	04/04	04/04				
		テスト仕様書FB対応		NTQ	8.0h	8.0h	完了	04/05	04/05	04/07	04/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649242274547939?thread_ts=1648028656.639979&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施		NTQ	30.0h	40.0h	完了	04/04	03/24	04/05	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649124348359589?thread_ts=1649041504.157909&cid=C02BYE052ES			
		コードレビュー		島	8.0h	11.0h	完了	04/05	04/05	04/07	04/08	https://iplug.slack.com/archives/C02BYE052ES/p1649383367008229?thread_ts=1649041504.157909&cid=C02BYE052ES			
		コードレビューで挙がったFB残分の社内でのすり合わせ		島	1.0h	3.0h	完了	04/11	04/11	04/13	04/13				
		社内でのすりあわせで出た結論のFBを指摘		島	1.0h	4.0h	完了	04/14	04/12	04/14	04/15	募集要項のコードレビュー相談MTG　で出た結論を元にNTQさんに共有			
		コードレビューFB対応		NTQ	16.0h	12.0h	完了	04/14	04/14	04/25	04/25				
		コードレビューFB対応確認		島	2h	2h	完了	04/25	04/25	04/25	04/25				
		コードレビューFB対応		NTQ	6.0h		完了	04/26	04/26	04/27	04/26	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650960811026199?thread_ts=1649041504.157909&cid=C02BYE052ES			
		コードレビューFB対応確認		島	4h	5.5h	完了	04/27	04/27	04/28	04/28	"返信
https://iplug.slack.com/archives/C02BYE052ES/p1651149799530729?thread_ts=1649041504.157909&cid=C02BYE052ES"			
		コードレビューFB対応		NTQ	4h	2.0h	完了	05/09	05/09	05/10	05/10	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652170937956879?thread_ts=1649041504.157909&cid=C02BYE052ES			
		コードレビューFB対応確認		島	3h	4h	完了	05/10	05/10	05/10	05/10	https://iplug.slack.com/archives/C02BYE052ES/p1652186738136499?thread_ts=1649041504.157909&cid=C02BYE052ES			
		コードレビューFB対応		NTQ	3h	3h	完了	05/11	05/11	05/11	05/11	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652254511530549?thread_ts=1649041504.157909&cid=C02BYE052ES			
		コードレビューFB対応確認		島	2h	2h	完了	05/12	05/12	05/12	05/12				
		コードレビューFB対応		NTQ	0.5h	0.5h	完了	05/12	05/12	05/12	05/12	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652338770265289?thread_ts=1649041504.157909&cid=C02BYE052ES			
		コードレビューFB対応確認		島	0.5h	0.5h	完了	05/12	05/12	05/12	05/12				
		機能テスト仕様書修正（漏れ処理取り込み）		NTQ	16.0h		完了	04/13	04/13	04/18	04/18	"https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649836307121969?thread_ts=1649041504.157909&cid=C02BYE052ES

https://iplug-ntq.slack.com/archives/C02BYE052ES/p1650262034815219?thread_ts=1648028656.639979&cid=C02BYE052ES"			
		機能テスト仕様書修正レビュー（漏れ処理取り込み）		山下	4.0h	4.0h	完了	04/26	04/26	04/26	04/26	優先			
		機能テスト仕様書修正（漏れ処理取り込み）FB対応		NTQ	2.0h	2.0h	完了	04/26	04/26	04/28	04/28	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1651134625813979?thread_ts=1648028656.639979&cid=C02BYE052ES			
		受入		島	8.0h	8h	完了	05/12	05/13	05/13	05/13				
	"採用計画画面　オファー送信完了
/coffer/sendexec/82194"		ENG1ST-1731	NTQ			仕掛中					"QnA119により、[/coffer/sendexec/82194?mode=confirm] 画面と一緒に実施する。
https://docs.google.com/spreadsheets/d/1zB5dykWwW12vo9U36j1pBt-w9wFwruHqCQ8Y9JVVUz4/edit#gid=938908689&range=AP122:AY122

以下の画面と同様の話のため、こちらの画面の結論が出てから最終判断する。
かんたん日程調整（開催前のイベント）学生に提案する
確認/cevent/invite?event=20680"			
		実装		NTQ	73.0h	75.0h	完了	02/15	02/15	02/22	03/10				
		テスト仕様書作成		NTQ	72.0h	50.0h	完了	02/15	02/23	04/04	04/04	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649046580040129			
		テスト仕様書レビュー		宗	4.0h	22.0h	完了	04/08	04/08	04/12	04/12				
		機能テスト実施		NTQ	42.0h		完了	04/05	04/05	05/11	05/12	NTQからのCSRFの対応方法提案待ち			
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/05	05/05				
		デッドコード処理		NTQ	4.0h	4.0h	完了	06/01	06/01	06/07	06/07	QnA175			
		機能テスト実施（デッドコード処理後）		NTQ	20.0h		未着手	06/24		07/01					
		コードレビュー		島	16.0h		未着手								
		コードレビューFB対応		NTQ	14.0h		未着手								
		受入		島	4.0h		未着手								
	"採用計画 
エラー表示（さんへは過去にオファーしています。繰り返しオファーはできません。）
/coffer/sendexec/82194"		ENG1ST-1736	NTQ			仕掛中								
		実装		NTQ	73.0h	75.0h	完了	02/15	02/15	02/22	03/10	ENG1ST-1731にマージ			
		テスト仕様書作成		NTQ	72.0h	50.0h	完了	02/15	02/23	04/04	04/04	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652923004566779			
		テスト仕様書レビュー					未着手								
		機能テスト実施		NTQ	42.0h		完了	04/05	04/05	05/11	05/12				
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/05	05/05				
		デッドコード処理		NTQ	4.0h	4.0h	完了	06/01	06/01	06/07	06/07	QnA175			
		機能テスト実施（デッドコード処理後）		NTQ	20.0h		未着手	06/29		07/05					
		コードレビュー		島	16.0h		未着手								
		コードレビューFB対応		NTQ	14.0h		未着手								
		受入		島	4.0h		未着手								
	"学生検索　適性検索とは画面
/cef1g/about "		ENG1ST-1751	NTQ			仕掛中								
		実装		NTQ	73.0h	35.0h	完了	02/07	02/07	02/14	03/10				
		テスト仕様書作成		NTQ	56.0h	50.0h	完了	02/24	02/07	02/15	02/24	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1645668538059539			
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	02/16	03/15	02/17	03/15				
		テスト仕様書FB対応		NTQ	12.0h	1.0h	完了	03/29	03/29	04/05	04/05	テスト仕様書が更新しなくて、指摘回答で完了			
		機能テスト実施		NTQ	42.0h	32.0h	完了	02/22	03/10	02/27	03/14	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647222823884739			
		レビュー		島	8.0h	4.0h	完了	02/28	03/28	03/01	03/28				
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/05	05/05				
		コードレビューFB対応		NTQ	14.0h	8.0h	完了	05/11	05/11	05/12	05/12	"リポジトリクラス削除一括対応完了後に行う
https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652260531160649?thread_ts=1648462522.759289&cid=C02BYE052ES"			
		コードレビューFB確認		島	2h	2h	完了	05/16	05/16	06/06	06/06	"ボール受け取り
https://iplug.slack.com/archives/C02BYE052ES/p1652260531160649?thread_ts=1648462522.759289&cid=C02BYE052ES

島　05/16 4群リリース作業優先のため、いったん止め(リリースが終わった5/19以降を終了予定に変更）

2022/06/06 https://iplug.slack.com/archives/C02BYE052ES/p1654486073228559"			
		FB対応		NTQ	2.0h	2.0h	完了	06/06	06/06	06/06	06/06	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1654567404631339?thread_ts=1654486073.228559&cid=C02BYE052ES			
		FB対応確認		島			未着手								
		受入		島	8.0h		未着手								
	"OfferBox計画表画面
/cplan"		ENG1ST-1771	NTQ			仕掛中								
		実装		NTQ	73.0h	15.0h	完了	02/23	02/23	03/02	03/02				
		テスト仕様書作成		NTQ	72.0h	10.0h	完了	02/23	02/24	03/03	03/10	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1646900038920049			
		テスト仕様書レビュー		山下	4.0h	8.0h	完了	03/04	03/16	03/07	03/16				 
		テスト仕様書FB対応		NTQ	12.0h	2.0h	完了	03/29	03/29	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649139641054259?thread_ts=1646900038.920049&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08				
		機能テスト実施		NTQ	42.0h	46.5h	完了	03/11	03/25	03/14	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648709920705329			
		NTQ側単体テスト修正		NTQ	4.0h	2.0h	完了	04/04	04/04	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649206111121949?thread_ts=1649045764.721289&cid=C02BYE052ES			
		レビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	14.0h		未着手								
		受入		島	8.0h		未着手								
	"OfferBox計画表　新規作成
/cplan/new"		ENG1ST-1776	NTQ			仕掛中								
		実装		NTQ	73.0h	15.0h	完了	02/23	02/25	03/02	03/11				
		テスト仕様書作成		NTQ	72.0h	30.0h	完了	02/23	02/24	03/03	03/11	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1646985804363489			
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	03/04	03/17	03/07	03/17				
		テスト仕様書FB対応		NTQ	12.0h	4.0h	完了	03/29	03/29	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649148990043669?thread_ts=1646985804.363489&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施		NTQ	42.0h	38.0h	完了	03/11	03/11	03/14	03/16	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647418797059029			
		NTQ側単体テスト修正		NTQ	4.0h		完了	04/04	04/04	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649206111121949?thread_ts=1649045764.721289&cid=C02BYE052ES			
		「Input::get()」、「Input::post()」機能対応		NTQ	2.0h	2.0h	完了	04/26	04/26	04/27	04/27				
		機能テスト仕様書修正（漏れ処理取り込み）		NTQ	1.0h	1.0h	完了	05/12	05/12	05/13	05/13	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1652660030449059?thread_ts=1646985804.363489&cid=C02BYE052ES			
		機能テスト仕様書修正レビュー（漏れ処理取り込み）		山下	0.5h	0.5h	完了	05/16	05/16	05/16	05/16	指摘事項無し			
		機能テスト実施（漏れ処理取り込み）		NTQ	1.0h	1.0h	完了	05/12	05/12	05/13	05/13				
		漏れ処理取り込み確認		山下	2.0h	2.0h	完了	05/31	05/31	05/31	05/31				
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	14.0h		未着手								
		受入		島	8.0h		未着手								
	"OfferBox計画表　計画編集
/cplan/edit/2117"		ENG1ST-1781	NTQ			仕掛中								
		実装		NTQ	41.0h	20.0h	完了	02/23	02/10	03/15	03/28				
		テスト仕様書作成		NTQ	56.0h	48.5h	完了	02/23	02/21	03/03	03/30	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648606762376769			
		テスト仕様書レビュー		山下	4.0h	6.0h	完了	03/04	03/31	03/07	03/31				
		テスト仕様書FB対応		NTQ	8.0h	0.0h	完了	03/08		03/08		FB無しのため完了。			
		機能テスト実施		NTQ	30.0h	28.0h	完了	03/16	03/28	03/17	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648718603571799			
		NTQ側単体テスト修正		NTQ	4.0h		完了	04/04	04/04	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649206111121949?thread_ts=1649045764.721289&cid=C02BYE052ES			
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								1771
		受入		島	8.0h		未着手								
	"OfferBox計画表　実績入力
/cplan/resultinput/2321"		ENG1ST-1791	NTQ			仕掛中								
		実装		NTQ	41.0h	43.0h	完了	02/23	02/23	03/02	03/04				
		テスト仕様書作成		NTQ	56.0h	34.0h	完了	02/23	02/23	03/03	03/23	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648001507459739			
		テスト仕様書レビュー		山下	4.0h	6.0h	完了	03/04	03/25	03/07	03/28				
		テスト仕様書FB対応		NTQ	8.0h	2.0h	完了	03/08	03/28	03/08	04/04	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649048031444109?thread_ts=1648001507.459739&cid=C02BYE052ES			
		テスト仕様書FB対応確認		山下	0.5h	0.5h	完了	04/08	04/08	04/08	04/08	テスト仕様レビュープロセス終了			
		機能テスト実施		NTQ	30.0h	33.0h	完了	03/11	03/28	03/14	03/31	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1648700484479089			
		NTQ側単体テスト修正		NTQ	4.0h		完了	04/04	04/04	04/06	04/05	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1649206111121949?thread_ts=1649045764.721289&cid=C02BYE052ES			
		「Input::get()」、「Input::post()」機能対応		NTQ	2.0h	2.0h	完了	04/26	04/26	04/27	04/27				
		リポジトリクラス削除対応		NTQ	1.0h	1.0h	完了	05/04	05/04	05/05	05/05				
		コードレビュー		島	8.0h		未着手								
		コードレビューFB対応		NTQ	10.0h		未着手								
		受入		島	8.0h		未着手								
	"OfferBox計画表 　さっそく始める
/cplan/start"		ENG1ST-1796	NTQ			仕掛中								
		実装		NTQ	41.0h	23.5h	完了	02/23	02/23	03/02	03/10				
		テスト仕様書作成		NTQ	56.0h	25.0h	完了	02/23	02/23	03/03	03/15	https://iplug-ntq.slack.com/archives/C02BYE052ES/p1647330588257819			
		テスト仕様書レビュー		山下	4.0h	4.0h	完了	03/04	03/17	03/07	03/17				
		テスト仕様書FB対応		NTQ	8.0h	0.0h	却下								
