	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考			
		マスターブランチからの（逆）マージするプルリクエストを自動的に作成する　実装	ENG1ST-1998	井村	8.0h	8.0h	完了	02/17	02/17	02/25	02/21				
		スクリプトレビュー		三田	4.0h	3.0h	完了	02/22	02/22	02/22	02/22				
		フィードバック対応		井村	4.0h	4.0h	完了	02/22	02/22	03/18	02/24				
		スクリプトFB対応レビュー		三田	2.0h	1.0h	完了	02/25	02/25	02/25	02/25				
		PR自動作成レビュー		三田	4.0h	1.0h	完了		03/29		03/30	github actionsの上限に頻繁に達して、他チームでリリース作業に影響があったこともあり、しばらく様子見。一旦レビューは完了			
		受入		三田	2.0h	2.0h	完了	02/25	02/25	03/25	02/25				
		NTQ説明		三田	2.0h	0.5h	完了	03/02	03/04	03/04	03/04				
		運用開始			1.0h	1.0h	完了	03/07	03/07	03/07	03/07				
	リリース後対応			i-plug			完了								
		脆弱性診断依頼		三田	2.0h	2.5h	完了	03/28	03/28	03/28	03/28				
		脆弱性診断質問対応		三田		0.5h	完了	4/1	04/01	4/1	04/01	offer_phaseのデータをバックアップした後物理削除、dev6を最新化しdeploy			
	4群リリース		ENG1ST-2064	i-plug			完了								
		rootブランチマージ、rootブランチ管理票起票		島	0.15h	0.2h	完了	03/30	03/30	03/30	03/30				
		リリースブランチマージ、リリース管理表記票		島	0.15h	0.2h	完了	03/30	03/30	03/30	03/30	https://github.com/i-plug/offerbox/pull/6341			
		結合テスト仕様書作成		島	4h	2.0h	完了	04/04	04/01	04/05	04/01				
		不具合No100,104リプレースブランチにマージ		猿渡			完了	04/05	04/05	04/05	04/05				
		不具合No100,104リリース管理票に起票		猿渡			完了	04/06	04/06	04/06	04/06				
		結合テスト仕様書　個別ページ　漏れ修正（シナリオ）		島	2h	4h	完了	04/04	04/04	04/06	04/06	依頼　https://iplug.slack.com/archives/C036YF1BVU5/p1649209204239499			
		結合テスト仕様書　個別ベージ　FB対応		島	2h	2h	完了	04/08	04/08	04/08	04/08	https://iplug.slack.com/archives/C036YF1BVU5/p1649400819006329?thread_ts=1649209204.239499&cid=C036YF1BVU5			
		結合テスト仕様書　個別ベージ　FB対応確認		三田		0.5h	完了	04/26	04/26	04/26	04/26	島20200415：募集要項とセットで見てもらうことになりそう			
		結合テスト仕様書　募集要項		島	5h	10.0h	完了	04/08	04/08	04/18	04/18				
		結合テスト仕様書レビュー		三田	2h	1.0h	完了	04/26	04/26	04/26	04/26				
		結合テスト仕様書レビュー　FB対応		島	2h	2h	完了	04/21	04/21	04/21	04/21	https://iplug.slack.com/archives/C036YF1BVU5/p1650529361284969?thread_ts=1649209204.239499&cid=C036YF1BVU5			
		一括対応（個別ページ）実装		島	8h	2h	完了	04/06	04/03	04/06	04/05	https://iplug.slack.com/archives/C036SEDMCUB/p1649162465883979			
		一括対応（個別ページ）コードレビュー		三田	2.0h	0.5h	完了	04/06	04/06	04/06	04/06				
		一括対応をリプレースブランチにマージ　管理票に記載		島	0.15h	0.15h	完了	04/06	04/06	04/06	04/06	https://docs.google.com/spreadsheets/d/1FYoKZWxNV_T1KCXXTmgmAss7Vi4yTR7vV9rzxtgIw7o/edit#gid=1870396442&range=15:15			
		一括対応（募集要項）実装		島	8h	7.0h	完了	04/19	04/19	04/20	04/20	https://iplug.slack.com/archives/C036SEDMCUB/p1650440604374589			
		一括対応（募集要項）コードレビュー		三田	2.0h	0.3h	完了	04/21	04/21	04/21	04/21				
		不具合対応（企業基本情報導線の修正漏れ）実装		島	1.0h	10h	完了	04/21	04/21	04/26	04/26				
		結合テスト仕様書レビュー FB対応		島	2h	1.5h	完了	04/27	04/27	04/27	04/27	https://iplug.slack.com/archives/C036YF1BVU5/p1651034504460749?thread_ts=1649209204.239499&cid=C036YF1BVU5			
		結合テスト仕様書レビュー FB対応　確認		三田		0.3h	完了	04/27	04/27	04/27	04/27				
		不具合対応（企業基本情報導線の修正漏れ）コードレビュー		三田	0.3h	0.3h	完了	04/27	04/27	04/27	04/27				
		リリース用のロックファイル追加実装		島	1h	0.5h	完了	05/02	05/02	05/02	05/02				
		リリース用のロックファイル追加実　コードレビュー		三田		0.0h	完了	05/09	05/09	05/09	05/09				
		repositoyrの撲滅対応　リプレースブランチへマージ		三田		1.0h	完了	04/28	04/28	04/28	04/28				
		重複メソッドの対応　リプレースブランチへマージ		三田		0.0h	完了	04/28	04/28	04/28	04/28				
		募集要項の重複メソッドの移動		猿渡	3h	10.0h	完了	05/13	05/13	05/16	05/17	"島：いったんの予定。
こちらのPRの結果次第ではやらないかも
https://iplug.slack.com/archives/C036SEDMCUB/p1650869509420569

島追記：実施する流れで（2022/4/28朝回時点）
----
島追記 2022/5/12
募集要項受入終わり次第アサインする想定（担当に名前一つしかしれられないので補足程度に）"			
		募集要項のrepositoryの撲滅		島	2h	0.0h	完了					"島：島の方での対応不要　NTQさん側で対応済
https://iplug.slack.com/archives/C02BYE052ES/p1652254511530549?thread_ts=1649041504.157909&cid=C02BYE052ES"			
		募集要項に企業基本情報のv2リンクがあれば修正		島	1.0h	1h	完了	05/13	05/13	05/13	05/13	https://iplug.slack.com/archives/C036SEDMCUB/p1652445432405349			
		募集要項の重複メソッドの移動、導線修正のコードレビュー依頼		島	0.5h	0.0h	完了	05/13	05/13	05/13	05/13	"まとめて依頼する想定
->訂正　分割して対応"			
		募集要項に企業基本情報のv2リンクがあれば修正　コードレビュー		三田		0.3h	完了	05/16	05/16	05/16	05/16				
		募集要項の重複メソッドの移動　コードレビュー		三田		0.5h	完了	05/16	05/16	05/16	05/17				
		v2-fluentの調整		島	3h	20h	完了	05/16	05/19	05/19	05/19				
		結合テスト		島	4h	3h	完了	05/19	05/19	05/19	05/19	"島2022/05/13
fluentの確認忘れず"			
		リリース手順書作成		島	4h	3h	完了	05/02	05/02	05/02	05/02	"島：ロックファイルの準備必要な予感　->必要
https://iplug.slack.com/archives/C03753558GZ/p1651478093262139"			
		リリース手順書作　レビュー		三田		0.5h	完了	05/09	05/09	05/09	05/09				
		当日作業用の前準備		島	2h	0.5h	完了	05/12	05/12	05/12	05/12				
		リリース前にfluentの設定をSREに見直し依頼		島	0.5h	0.2h	完了	05/13	05/13	05/13	05/13	"SRE(浦部さん）に共有 fluentの設定について　https://iplug.slack.com/archives/C01TH6SL0SC/p1649663239668219?thread_ts=1649652245.841809&cid=C01TH6SL0SC

島メモ　※リリース手順書作成に絡みそうなら前のほうがいい？

---
https://iplug.slack.com/archives/C01TH6SL0SC/p1652441350132499"			
		リリース予告（部内）		島	0.5h	0.5h	完了	05/16	05/16	05/16	05/16	"生江さんに確認し、部内共有はしてほしいとのこと

https://iplug.slack.com/archives/CB38ZP73J/p1652674111741749"			
		前日作業（リリース手順書より）		島	1h	1h	完了	05/17	05/19	05/19	05/19	https://docs.google.com/spreadsheets/d/1-tCGfjR-leX6WYhXquAS4Pjh8il2RqBLbnDOmste-fc/edit#gid=1403848461&range=17:24			
		リリース		島	2h	3h	完了	05/19	05/19	05/19	05/19				
		リリース結果報告		島	0.15h	0.15h	完了	05/19	05/19	05/19	05/19	https://iplug.slack.com/archives/CB38ZP73J/p1652962487710719			
	4群リリース後作業			i-plug			仕掛中								
		fulentdの変更点をNTQに共有		島	0.5h	0.5h	完了	05/23	05/23	5/23	05/23	https://iplug.slack.com/archives/C02BYE052ES/p1653293154644359			
		SalesForce対応してる画面から次の優先受入機能を選定＆fluentd関連でaccesslogの部分の見直しタスクを進捗管理表に起票（小坂さんアサイン）		島	2h		未着手					"島：現在アクセスログはどこに飛ばしていているかなど、確認

念の為
- 浦部さんとの認識合わせ
- 島の方で既存アクセスログの処理の把握
をしてから依頼する想定
https://iplug.slack.com/archives/C03GMF82RBP/p1653385593267729?thread_ts=1653385097.750899&cid=C03GMF82RBP

2022/6/1
島：学生側にもアクセスログがあるので、それが終わってからでいいと考えている"			
		脆弱性診断依頼		島	1.0h	1.5h	完了	5/31	05/31	5/31	05/31	３群同様に			
		4群で変更した設計方針などの他チーム共有		島	0.5h	0.5h	完了	05/24	05/24	5/24	05/24	https://iplug.slack.com/archives/C01TH6SL0SC/p1653387454853999			
	不具合対応3/28対応しきれなかった残件			i-plug			完了								
		不具合No.100実装		猿渡	4.0h	6.0h	完了	03/23	03/24	03/24	03/28	選考フェーズ100以上登録できる問題			
		不具合No.100 レビュー		三田	2.0h	0.5h	完了	03/23	03/29	03/24	03/31				
		不具合No.100 FB対応		猿渡	4.0h	4.0h	完了	04/05	04/05	04/05	04/05				
		不具合No.100 FB対応レビュー		三田	0.5h	0.25h	完了	04/05	04/05	04/05	04/05				
		不具合No.104 実装		猿渡	4.0h	10.0h	完了	03/23	03/25	03/24	03/28	オファー作成ガイド草稿が保存されない問題			
		不具合No.104 レビュー		三田	2.0h	0.5h	完了	03/23	03/29	03/24	03/31				
	"採用計画 オプション設定（私を見て機能設定）画面
/coptionsettings/lookatme"		ENG1ST-1517	i-plug			完了								
		実装		三田	40.0h	40.0h	完了	10月	10月	10月	10月				
